date,lang,percent,count,date_bin,rank,growth_rate
2008-01-01 00:00:00,sv,0.0,0,2,22,0
2008-01-01 00:00:00,th,0.0,0,2,28,0
2008-01-01 00:00:00,tr,0.0135288607805,34113,2,13,885.070747906
2008-01-01 00:00:00,ur,0.0,0,2,21,0
2008-01-01 00:00:00,zh-cn,0.117790678379,297009,2,10,346.307928112
2008-01-01 00:00:00,zh-tw,0.11867626294,299242,2,9,409.2094068
2009-01-01 00:00:00,ar,0.0,0,3,31,0
2009-01-01 00:00:00,da,0.0,0,3,25,0
2009-01-01 00:00:00,de,0.657114784342,25341909,3,6,1090.06101538
2009-01-01 00:00:00,en,81.6158973731,3147551529,3,1,1574.34841544
2009-01-01 00:00:00,en-ss,0.0,0,3,30,0
2009-01-01 00:00:00,en-xx,0.0,0,3,23,0
2009-01-01 00:00:00,es,1.72544713491,66542597,3,4,1223.46804707
2009-01-01 00:00:00,fa,0.0,0,3,27,0
2009-01-01 00:00:00,fi,0.0,0,3,26,0
2009-01-01 00:00:00,fil,0.000494354760862,19065,3,17,1103.59848485
2009-01-01 00:00:00,fr,0.335869188203,12952937,3,7,824.707801479
2009-01-01 00:00:00,he,0.0,0,3,24,0
2009-01-01 00:00:00,hi,0.00059602614913,22986,3,16,37.3774802773
2009-01-01 00:00:00,hu,0.0,0,3,19,0
2009-01-01 00:00:00,id,0.00946713352267,365104,3,15,8268.18702727
2009-01-01 00:00:00,it,0.150185598669,5791971,3,8,628.025083808
2009-01-01 00:00:00,ja,5.874325183,226545830,3,3,929.342550378
2009-01-01 00:00:00,ko,0.0661211485261,2549990,3,10,23691.6588916
2009-01-01 00:00:00,msa,0.000407748681592,15725,3,18,450.209937019
2009-01-01 00:00:00,n/a,7.97277627408,307473482,3,2,901.426290818
2009-01-01 00:00:00,nl,0.0451542834742,1741394,3,12,1144.85763509
2009-01-01 00:00:00,no,0.0,0,3,29,0
2009-01-01 00:00:00,pl,0.0,0,3,20,0
